id,Tipo de inmueble,Operación,Precio,Estado,Delegación,Colonia,Núm. de recamaras,Núm. de baños,Estacionamientos,m2 de construcción,m2 de terreno,Niveles,Antigüedad,fecha_captura
64699tc,DEPARTAMENTO,RENTA,"$16,800 MXN",CDMX,COYOACAN,Paseos De TaxqueÑa,2,2,2,97,,6,MAS DE 30,2025-05-16 01:26:02
64973tc,LOCAL COMERCIAL,RENTA,"$10,000 MXN",CDMX,TLALPAN,Pedregal Del Lago,,SI,,33,,,,2025-05-16 01:26:05
64981tc,DEPARTAMENTO,RENTA,"$7,000 MXN",CDMX,CUAUHTEMOC,Doctores,2,1,,45,,3,MAS DE 30,2025-05-16 01:26:08
64929tc,CASA DUPLEX,RENTA,"$15,000 MXN",CDMX,TLALPAN,Villa Coapa,2,1,,75,,1,MAS DE 30,2025-05-16 01:26:12
64930tc,CASA,RENTA,"$28,000 MXN",CDMX,IZTAPALAPA,El Prado,3,2,2,137,,1,ENTRE 21 - 30 AÑOS,2025-05-16 01:26:15
64936tc,DEPARTAMENTO,RENTA,"$3,500 MXN",CDMX,XOCHIMILCO,San Lorenzo La Cebada,1,1,,25,,2,ENTRE 21 - 30 AÑOS,2025-05-16 01:26:18
64949tc,DEPARTAMENTO,RENTA,"$5,000 MXN",CDMX,XOCHIMILCO,Nativitas,1,1,1,50,,3,ENTRE 0 - 5 AÑOS,2025-05-16 01:26:21
64953tc,DEPARTAMENTO,RENTA,"$9,500 MXN",CDMX,TLALPAN,Pedregal De Las Aguilas,1,1,,75,,,,2025-05-16 01:26:23
64956tc,DEPARTAMENTO,RENTA,"$10,000 MXN",CDMX,COYOACAN,Parque San Andres,3,1,1,70,,4,MAS DE 30,2025-05-16 01:26:26
64892tc,BODEGA,RENTA,"$70,000 MXN",CDMX,COYOACAN,Ajusco,,,,,,,,2025-05-16 01:26:28
64898tc,LOCAL COMERCIAL,RENTA,"$7,500 MXN",CDMX,ALVARO OBREGON,Olivar De Los Padres,,SI,1,32,,,ENTRE 6 - 10 AÑOS,2025-05-16 01:26:32
64908tc,DEPARTAMENTO,RENTA,"$14,000 MXN",CDMX,CUAUHTEMOC,Roma Norte,2,1,,54,,4,ENTRE 11 - 15 AÑOS,2025-05-16 01:26:35
64909tc,DEPARTAMENTO,RENTA,"$14,800 MXN",CDMX,COYOACAN,Pueblo De Santa Ursula Coapa,2,SI,1,80,,3,ENTRE 0 - 5 AÑOS,2025-05-16 01:26:37
64910tc,DEPARTAMENTO,RENTA,"$14,800 MXN",CDMX,COYOACAN,Pueblo De Santa Ursula Coapa,2,SI,1,80,,3,ENTRE 0 - 5 AÑOS,2025-05-16 01:26:40
64938tc,DEPARTAMENTO,RENTA,"$21,000 MXN",CDMX,CUAUHTEMOC,San Rafael,2,2,1,65,,5,,2025-05-16 01:26:44
64942tc,LOCAL COMERCIAL,RENTA,"$8,500 MXN",CDMX,IZTAPALAPA,Puente Blanco,,1,,,,,ENTRE 6 - 10 AÑOS,2025-05-16 01:26:48
64964tc,LOCAL COMERCIAL,RENTA,"$7,500 MXN",CDMX,IZTAPALAPA,Puente Blanco,,SI,,,,,ENTRE 6 - 10 AÑOS,2025-05-16 01:26:52
64825tc,DEPARTAMENTO,RENTA,"$13,000 MXN",CDMX,GUSTAVO A. MADERO,Industrial,2,2,2,60,,,ENTRE 6 - 10 AÑOS,2025-05-16 01:26:55
64826tc,DEPARTAMENTO,RENTA,"$14,000 MXN",CDMX,GUSTAVO A. MADERO,Guadalupe Insurgentes,2,1,1,100,,1,MAS DE 30,2025-05-16 01:26:58
64835tc,DEPARTAMENTO,RENTA,"$9,000 MXN",CDMX,GUSTAVO A. MADERO,Estrella,1,1,,50,,3,ENTRE 0 - 5 AÑOS,2025-05-16 01:27:02
64836tc,OFICINA,RENTA,"$4,000 MXN",CDMX,GUSTAVO A. MADERO,Estrella,,SI,,,,3,ENTRE 0 - 5 AÑOS,2025-05-16 01:27:05
64837tc,OFICINA,RENTA,"$6,000 MXN",CDMX,GUSTAVO A. MADERO,Estrella,,SI,,,,3,ENTRE 0 - 5 AÑOS,2025-05-16 01:27:07
64838tc,LOCAL COMERCIAL,RENTA,"$9,500 MXN",CDMX,GUSTAVO A. MADERO,Tepeyac Insurgentes,,SI,,31,,,MAS DE 30,2025-05-16 01:27:11
64839tc,LOCAL COMERCIAL,RENTA,"$28,000 MXN",CDMX,BENITO JUAREZ,Del Valle Centro,,SI,,,,,,2025-05-16 01:27:15
64842tc,DEPARTAMENTO,RENTA,"$16,000 MXN",CDMX,ALVARO OBREGON,Guadalupe Inn,1,1,,85,,4,,2025-05-16 01:27:19
64848tc,CASA EN CONDOMINIO,RENTA,"$40,000 MXN",CDMX,COYOACAN,Del Carmen,6,SI,4,250,,,MAS DE 30,2025-05-16 01:27:23
64849tc,LOCAL COMERCIAL,RENTA,"$5,000 MXN",CDMX,IZTAPALAPA,Los Cipreses,,SI,,4,,,ENTRE 16 - 20 AÑOS,2025-05-16 01:27:26
64850tc,LOCAL COMERCIAL,RENTA,"$4,500 MXN",CDMX,IZTAPALAPA,Los Cipreses,,SI,,35,,,,2025-05-16 01:27:28
64857tc,DEPARTAMENTO,RENTA,"$7,500 MXN",CDMX,GUSTAVO A. MADERO,Lindavista Norte,2,1,,65,,5,ENTRE 21 - 30 AÑOS,2025-05-16 01:27:31
64860tc,CASA DUPLEX,RENTA,"$15,000 MXN",CDMX,COYOACAN,Culhuacan Ctm Seccion Vi,3,SI,,95,,2,MAS DE 30,2025-05-16 01:27:33
64864tc,DEPARTAMENTO,RENTA,"$28,000 MXN",CDMX,COYOACAN,Barrio Del NiÑo Jesus,2,2,2,147,,5,ENTRE 16 - 20 AÑOS,2025-05-16 01:27:37
64870tc,CASA,RENTA,"$30,000 MXN",CDMX,TLALPAN,Villa Lazaro Cardenas,,,,300,,,,2025-05-16 01:27:39
64872tc,DEPARTAMENTO,RENTA,"$26,500 MXN",CDMX,TLALPAN,Tlalpan Centro,3,3,4,190,,2,MAS DE 30,2025-05-16 01:27:43
64875tc,LOCAL COMERCIAL,RENTA,"$48,000 MXN",CDMX,LA MAGDALENA CONTRERAS,San Jeronimo Lidice,,SI,2,84,,,ENTRE 11 - 15 AÑOS,2025-05-16 01:27:46
64885tc,LOCAL COMERCIAL,RENTA,"$17,000 MXN",CDMX,BENITO JUAREZ,Del Valle Centro,,SI,,30,,,MAS DE 30,2025-05-16 01:27:49
64913tc,DEPARTAMENTO,RENTA,"$14,000 MXN",CDMX,COYOACAN,Alianza Popular Revolucionaria,3,1,1,90,,3,MAS DE 30,2025-05-16 01:27:52
64803tc,CASA,RENTA,"$25,000 MXN",CDMX,GUSTAVO A. MADERO,San Juan De Aragon Iv Seccion,4,2,4,220,,2,MAS DE 30,2025-05-16 01:27:55
64806tc,DEPARTAMENTO,RENTA,"$17,300 MXN",CDMX,BENITO JUAREZ,Del Valle Centro,1,1,1,72,,4,ENTRE 6 - 10 AÑOS,2025-05-16 01:27:59
64812tc,DEPARTAMENTO,RENTA,"$12,500 MXN",CDMX,TLALPAN,Villa Coapa,3,1,,65,,4,MAS DE 30,2025-05-16 01:28:01
64815tc,DEPARTAMENTO,RENTA,"$12,000 MXN",CDMX,BENITO JUAREZ,Portales Sur,2,1,,65,,4,MAS DE 30,2025-05-16 01:28:04
64818tc,DEPARTAMENTO,RENTA,"$13,000 MXN",CDMX,COYOACAN,Parque San Andres,2,1,,75,,1,MAS DE 30,2025-05-16 01:28:07
64830tc,DEPARTAMENTO,RENTA,"$12,000 MXN",CDMX,VENUSTIANO CARRANZA,Moctezuma 2a Seccion,2,1,1,71,,5,ENTRE 16 - 20 AÑOS,2025-05-16 01:28:10
64851tc,DEPARTAMENTO,RENTA,"$20,000 MXN",CDMX,ALVARO OBREGON,Los Alpes,1,1,,78,,,ENTRE 0 - 5 AÑOS,2025-05-16 01:28:13
64871tc,LOCAL COMERCIAL,RENTA,"$10,500 MXN",CDMX,GUSTAVO A. MADERO,San Juan De Aragon I Seccion,,1,,15,,,,2025-05-16 01:28:15
64968tc,DEPARTAMENTO,RENTA,"$16,000 MXN",CDMX,CUAUHTEMOC,Roma Norte,2,1,,60,,3,MAS DE 30,2025-05-16 01:28:19
64769tc,DEPARTAMENTO,RENTA,"$25,000 MXN",CDMX,BENITO JUAREZ,Del Valle Centro,3,2,1,100,,5,MAS DE 30,2025-05-16 01:28:23
64770tc,DEPARTAMENTO,RENTA,"$9,000 MXN",CDMX,TLAHUAC,Granjas Cabrera,2,SI,1,70,,,,2025-05-16 01:28:25
64772tc,DEPARTAMENTO,RENTA,"$6,500 MXN",CDMX,TLALPAN,Pedregal De San Nicolas 1a Seccion,2,1,,50,,2,ENTRE 6 - 10 AÑOS,2025-05-16 01:28:28
64787tc,LOCAL COMERCIAL,RENTA,"$9,500 MXN",CDMX,TLALPAN,Tlalpan Centro,,SI,,20,,,,2025-05-16 01:28:31
64790tc,DEPARTAMENTO,RENTA,"$5,500 MXN",CDMX,GUSTAVO A. MADERO,Industrial,1,1,,30,,1,,2025-05-16 01:28:34
64804tc,DEPARTAMENTO,RENTA,"$26,000 MXN",CDMX,BENITO JUAREZ,Del Valle Norte,2,2,1,103,,3,ENTRE 11 - 15 AÑOS,2025-05-16 01:28:38
64834tc,DEPARTAMENTO,RENTA,"$35,000 MXN",CDMX,BENITO JUAREZ,San Jose Insurgentes,3,SI,2,160,,,ENTRE 16 - 20 AÑOS,2025-05-16 01:28:41
